#separator:tab
#html:true
"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-cloze=""position"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""momentum"" data-ordinal=""1"">[...]</span> simultaneously."	"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-ordinal=""1"">position</span> &amp; <span class=""cloze"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b>Strong</b></span> <b>acids/bases</b> <span class=""cloze"" data-cloze=""&lt;i&gt;do&lt;&#x2F;i&gt;"" data-ordinal=""2"">[do/do not]</span> easily undergo <span class=""cloze-inactive"" data-ordinal=""3""><u>hydrolysis</u></span> reactions, since <span class=""cloze-inactive"" data-ordinal=""3"">hydrolysis</span> reactions result in the formation of H<sub>3</sub>O<sup>+</sup> &amp; OH<sup>-</sup> ions.&nbsp;"	"<span class=""cloze-inactive"" data-ordinal=""1""><b>Strong</b></span> <b>acids/bases</b> <span class=""cloze"" data-ordinal=""2""><i>do</i></span> easily undergo <span class=""cloze-inactive"" data-ordinal=""3""><u>hydrolysis</u></span> reactions, since <span class=""cloze-inactive"" data-ordinal=""3"">hydrolysis</span> reactions result in the formation of H<sub>3</sub>O<sup>+</sup> &amp; OH<sup>-</sup> ions.&nbsp;
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- A compound that undergoes 20% hydrolysis in solution is likely a good acid or base.</div><div>- A compound that undergoes 5% hydrolysis is likely a weak acid or base.</div><div><br></div><img src=""6a89bb10f90cd04121128e6951fa8494.png""></div>"
"A <span class=""cloze"" data-cloze=""&lt;i&gt;lower&lt;&#x2F;i&gt;"" data-ordinal=""1"">[lower/higher]</span> <b>pH</b> value signifies a <span class=""cloze-inactive"" data-ordinal=""2""><i>stronger</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>acid</u></span>."	"A <span class=""cloze"" data-ordinal=""1""><i>lower</i></span> <b>pH</b> value signifies a <span class=""cloze-inactive"" data-ordinal=""2""><i>stronger</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>acid</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""c9e024802013c9c367d8d200872f8a2e.png""><div><br></div><div><img src=""1ca64da6c151f69ee2b158f7a3d5c8b7.png""></div></div>"
"A <span class=""cloze-inactive"" data-ordinal=""1""><i>lower</i></span> <b>pH</b> value signifies a <span class=""cloze"" data-cloze=""&lt;i&gt;stronger&lt;&#x2F;i&gt;"" data-ordinal=""2"">[weaker/stronger]</span> <span class=""cloze-inactive"" data-ordinal=""3""><u>acid</u></span>."	"A <span class=""cloze-inactive"" data-ordinal=""1""><i>lower</i></span> <b>pH</b> value signifies a <span class=""cloze"" data-ordinal=""2""><i>stronger</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>acid</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""c9e024802013c9c367d8d200872f8a2e.png""><div><br></div><div><img src=""1ca64da6c151f69ee2b158f7a3d5c8b7.png""></div></div>"
"A <span class=""cloze-inactive"" data-ordinal=""1""><i>higher</i></span> <b>pH</b> value signifies a <span class=""cloze"" data-cloze=""&lt;i&gt;weaker&lt;&#x2F;i&gt;"" data-ordinal=""2"">[weaker/stronger]</span> <span class=""cloze-inactive"" data-ordinal=""3""><u>acid</u></span>."	"A <span class=""cloze-inactive"" data-ordinal=""1""><i>higher</i></span> <b>pH</b> value signifies a <span class=""cloze"" data-ordinal=""2""><i>weaker</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>acid</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""c9e024802013c9c367d8d200872f8a2e.png""><div><br></div><div><img src=""1ca64da6c151f69ee2b158f7a3d5c8b7.png""></div></div>"
"A <span class=""cloze"" data-cloze=""&lt;i&gt;higher&lt;&#x2F;i&gt;"" data-ordinal=""1"">[lower/higher]</span> <b>pH</b> value signifies a <span class=""cloze-inactive"" data-ordinal=""2""><i>weaker</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>acid</u></span>."	"A <span class=""cloze"" data-ordinal=""1""><i>higher</i></span> <b>pH</b> value signifies a <span class=""cloze-inactive"" data-ordinal=""2""><i>weaker</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>acid</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""c9e024802013c9c367d8d200872f8a2e.png""><div><br></div><div><img src=""1ca64da6c151f69ee2b158f7a3d5c8b7.png""></div></div>"
"A <span class=""cloze"" data-cloze=""&lt;i&gt;lower&lt;&#x2F;i&gt;"" data-ordinal=""1"">[lower/higher]</span> <b>pOH</b> value signifies a <span class=""cloze-inactive"" data-ordinal=""2""><i>stronger</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>base</u></span>."	"A <span class=""cloze"" data-ordinal=""1""><i>lower</i></span> <b>pOH</b> value signifies a <span class=""cloze-inactive"" data-ordinal=""2""><i>stronger</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>base</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""c9e024802013c9c367d8d200872f8a2e.png""><div><br></div><div><img src=""1ca64da6c151f69ee2b158f7a3d5c8b7.png""></div></div>"
"A <span class=""cloze-inactive"" data-ordinal=""1""><i>lower</i></span> <b>pOH</b> value signifies a <span class=""cloze"" data-cloze=""&lt;i&gt;stronger&lt;&#x2F;i&gt;"" data-ordinal=""2"">[weaker/stronger]</span> <span class=""cloze-inactive"" data-ordinal=""3""><u>base</u></span>."	"A <span class=""cloze-inactive"" data-ordinal=""1""><i>lower</i></span> <b>pOH</b> value signifies a <span class=""cloze"" data-ordinal=""2""><i>stronger</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>base</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""c9e024802013c9c367d8d200872f8a2e.png""><div><br></div><div><img src=""1ca64da6c151f69ee2b158f7a3d5c8b7.png""></div></div>"
"A <span class=""cloze"" data-cloze=""&lt;i&gt;higher&lt;&#x2F;i&gt;"" data-ordinal=""1"">[lower/higher]</span> <b>pOH</b> value signifies a <span class=""cloze-inactive"" data-ordinal=""2""><i>weaker</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>base</u></span>."	"A <span class=""cloze"" data-ordinal=""1""><i>higher</i></span> <b>pOH</b> value signifies a <span class=""cloze-inactive"" data-ordinal=""2""><i>weaker</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>base</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""c9e024802013c9c367d8d200872f8a2e.png""><div><br></div><div><img src=""1ca64da6c151f69ee2b158f7a3d5c8b7.png""></div></div>"
"A <span class=""cloze-inactive"" data-ordinal=""1""><i>higher</i></span> <b>pOH</b> value signifies a <span class=""cloze"" data-cloze=""&lt;i&gt;weaker&lt;&#x2F;i&gt;"" data-ordinal=""2"">[weaker/stronger]</span> <span class=""cloze-inactive"" data-ordinal=""3""><u>base</u></span>."	"A <span class=""cloze-inactive"" data-ordinal=""1""><i>higher</i></span> <b>pOH</b> value signifies a <span class=""cloze"" data-ordinal=""2""><i>weaker</i></span> <span class=""cloze-inactive"" data-ordinal=""3""><u>base</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""c9e024802013c9c367d8d200872f8a2e.png""><div><br></div><div><img src=""1ca64da6c151f69ee2b158f7a3d5c8b7.png""></div></div>"
"In order for the <b>pH</b> to change from 8 to 11, the [OH<sup>-</sup>] would need to have been <i>increased</i> by <span class=""cloze"" data-cloze=""1000x"" data-ordinal=""1"">[multiple]</span>."	"In order for the <b>pH</b> to change from 8 to 11, the [OH<sup>-</sup>] would need to have been <i>increased</i> by <span class=""cloze"" data-ordinal=""1"">1000x</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

- This is because the pH/pOH scale is <u>logarithmic</u>.<div>- Each change in 1 pH unit represents a change in [H<sup>+</sup>] by a multiple of 10.</div></div>"
"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze"" data-cloze=""&lt;i&gt;decreases&lt;&#x2F;i&gt;"" data-ordinal=""2"">[increases/decreases/same]</span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>increased</i></span>."	"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>increased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an exothermic reaction behaves like a product of the reaction, as temperature is increased, product formation decreases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze"" data-cloze=""&lt;i&gt;increased&lt;&#x2F;i&gt;"" data-ordinal=""3"">[increased/decreased/same]</span>."	"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze"" data-ordinal=""3""><i>increased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an exothermic reaction behaves like a product of the reaction, as temperature is increased, product formation decreases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze"" data-cloze=""&lt;u&gt;exo&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>increased</i></span>."	"For an <span class=""cloze"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>increased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an exothermic reaction behaves like a product of the reaction, as temperature is increased, product formation decreases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze"" data-cloze=""&lt;u&gt;exo&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>decreased</i></span>."	"For an <span class=""cloze"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>decreased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an exothermic reaction behaves like a product of the reaction, as temperature is decreased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze"" data-cloze=""&lt;i&gt;increases&lt;&#x2F;i&gt;"" data-ordinal=""2"">[increases/decreases/same]</span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>decreased</i></span>."	"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>decreased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an exothermic reaction behaves like a product of the reaction, as temperature is decreased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze"" data-cloze=""&lt;i&gt;decreased&lt;&#x2F;i&gt;"" data-ordinal=""3"">[increased/decreased/same]</span>."	"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>exo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze"" data-ordinal=""3""><i>decreased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an exothermic reaction behaves like a product of the reaction, as temperature is decreased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze"" data-cloze=""&lt;i&gt;increases&lt;&#x2F;i&gt;"" data-ordinal=""2"">[increases/decreases/same]</span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>increased</i></span>."	"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>increased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an endothermic reaction behaves like a reactant of the reaction, as temperature is increased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze"" data-cloze=""&lt;u&gt;endo&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>increased</i></span>."	"For an <span class=""cloze"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>increased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an endothermic reaction behaves like a reactant of the reaction, as temperature is increased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze"" data-cloze=""&lt;i&gt;increased&lt;&#x2F;i&gt;"" data-ordinal=""3"">[increased/decreased/same]</span>."	"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>increases</i></span> as temperature is <span class=""cloze"" data-ordinal=""3""><i>increased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an endothermic reaction behaves like a reactant of the reaction, as temperature is increased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze"" data-cloze=""&lt;i&gt;decreases&lt;&#x2F;i&gt;"" data-ordinal=""2"">[increases/decreases/same]</span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>decreased</i></span>."	"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>decreased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an endothermic reaction behaves like a reactant of the reaction, as temperature is increased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze"" data-cloze=""&lt;u&gt;endo&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>decreased</i></span>."	"For an <span class=""cloze"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze-inactive"" data-ordinal=""3""><i>decreased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an endothermic reaction behaves like a reactant of the reaction, as temperature is increased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze"" data-cloze=""&lt;i&gt;decreased&lt;&#x2F;i&gt;"" data-ordinal=""3"">[increased/decreased/same]</span>."	"For an <span class=""cloze-inactive"" data-ordinal=""1""><u>endo</u></span><u>thermic</u> reaction, <b>K<sub>a</sub></b> <span class=""cloze-inactive"" data-ordinal=""2""><i>decreases</i></span> as temperature is <span class=""cloze"" data-ordinal=""3""><i>decreased</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>K<sub>a</sub></b> is a ratio of the products to the reactants.&nbsp;</div><div>- Since heat for an endothermic reaction behaves like a reactant of the reaction, as temperature is increased, product formation increases.</div><div><br></div><img src=""d9ffa396a3d411faa300076a56e653ae.png""></div>"
"<span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>&nbsp;is <span class=""cloze-inactive"" data-ordinal=""1""><i>more</i></span> <u>acidic</u> than <span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>, since the extra oxygen <span class=""cloze"" data-cloze=""provides&#x20;&lt;u&gt;resonance&#x20;stabilization&lt;&#x2F;u&gt;"" data-ordinal=""3"">[...]</span> for the resulting <span class=""cloze"" data-cloze=""conjugate&#x20;base"" data-ordinal=""3"">[...]</span>."	"<span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>&nbsp;is <span class=""cloze-inactive"" data-ordinal=""1""><i>more</i></span> <u>acidic</u> than <span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>, since the extra oxygen <span class=""cloze"" data-ordinal=""3"">provides <u>resonance stabilization</u></span> for the resulting <span class=""cloze"" data-ordinal=""3"">conjugate base</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>This trend is generally true for most oxyacids (acids with multiple oxygen atoms).</div><div><br></div><img src=""maxresdefault-c7bbf2abb0a81c0368ff320410fe988274651e1c.jpg""></div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;HBrO&lt;sub&gt;4&lt;&#x2F;sub&gt;&lt;&#x2F;b&gt;"" data-ordinal=""2"">[HBrO<sub>3</sub>/HBrO<sub>4</sub>]</span>&nbsp;is <span class=""cloze-inactive"" data-ordinal=""1""><i>more</i></span> <u>acidic</u> than <span class=""cloze"" data-cloze=""&lt;b&gt;HBrO&lt;sub&gt;3&lt;&#x2F;sub&gt;&lt;&#x2F;b&gt;"" data-ordinal=""2"">[HBrO<sub>3</sub>/HBrO<sub>4</sub>]</span>, since the extra oxygen <span class=""cloze-inactive"" data-ordinal=""3"">provides <u>resonance stabilization</u></span> for the resulting <span class=""cloze-inactive"" data-ordinal=""3"">conjugate base</span>."	"<span class=""cloze"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>&nbsp;is <span class=""cloze-inactive"" data-ordinal=""1""><i>more</i></span> <u>acidic</u> than <span class=""cloze"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>, since the extra oxygen <span class=""cloze-inactive"" data-ordinal=""3"">provides <u>resonance stabilization</u></span> for the resulting <span class=""cloze-inactive"" data-ordinal=""3"">conjugate base</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>This trend is generally true for most oxyacids (acids with multiple oxygen atoms).</div><div><br></div><img src=""maxresdefault-c7bbf2abb0a81c0368ff320410fe988274651e1c.jpg""></div>"
"<span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>&nbsp;is <span class=""cloze"" data-cloze=""&lt;i&gt;more&lt;&#x2F;i&gt;"" data-ordinal=""1"">[less/more]</span> <u>acidic</u> than <span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>, since the extra oxygen <span class=""cloze-inactive"" data-ordinal=""3"">provides <u>resonance stabilization</u></span> for the resulting <span class=""cloze-inactive"" data-ordinal=""3"">conjugate base</span>."	"<span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>&nbsp;is <span class=""cloze"" data-ordinal=""1""><i>more</i></span> <u>acidic</u> than <span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>, since the extra oxygen <span class=""cloze-inactive"" data-ordinal=""3"">provides <u>resonance stabilization</u></span> for the resulting <span class=""cloze-inactive"" data-ordinal=""3"">conjugate base</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>This trend is generally true for most oxyacids (acids with multiple oxygen atoms).</div><div><br></div><img src=""maxresdefault-c7bbf2abb0a81c0368ff320410fe988274651e1c.jpg""></div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;HBrO&lt;sub&gt;3&lt;&#x2F;sub&gt;&lt;&#x2F;b&gt;"" data-ordinal=""2"">[HBrO<sub>3</sub>/HBrO<sub>4</sub>]</span>&nbsp;is <span class=""cloze-inactive"" data-ordinal=""1""><i>less</i></span> <u>acidic</u> than <span class=""cloze"" data-cloze=""&lt;b&gt;HBrO&lt;sub&gt;4&lt;&#x2F;sub&gt;&lt;&#x2F;b&gt;"" data-ordinal=""2"">[HBrO<sub>3</sub>/HBrO<sub>4</sub>]</span>, since having 1 less oxygen results in <span class=""cloze-inactive"" data-ordinal=""3""><i>less</i>&nbsp;resonance stabilization</span> for the resulting <span class=""cloze-inactive"" data-ordinal=""3"">conjugate base</span>."	"<span class=""cloze"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>&nbsp;is <span class=""cloze-inactive"" data-ordinal=""1""><i>less</i></span> <u>acidic</u> than <span class=""cloze"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>, since having 1 less oxygen results in <span class=""cloze-inactive"" data-ordinal=""3""><i>less</i>&nbsp;resonance stabilization</span> for the resulting <span class=""cloze-inactive"" data-ordinal=""3"">conjugate base</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>This trend is generally true for most oxyacids (acids with multiple oxygen atoms).</div><div><br></div><img src=""maxresdefault-c7bbf2abb0a81c0368ff320410fe988274651e1c.jpg""></div>"
"<span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>&nbsp;is <span class=""cloze-inactive"" data-ordinal=""1""><i>less</i></span> <u>acidic</u> than <span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>, since having 1 less oxygen results in <span class=""cloze"" data-cloze=""&lt;i&gt;less&lt;&#x2F;i&gt;&amp;nbsp&#x3B;resonance&#x20;stabilization"" data-ordinal=""3"">[...]</span> for the resulting <span class=""cloze"" data-cloze=""conjugate&#x20;base"" data-ordinal=""3"">[...]</span>."	"<span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>&nbsp;is <span class=""cloze-inactive"" data-ordinal=""1""><i>less</i></span> <u>acidic</u> than <span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>, since having 1 less oxygen results in <span class=""cloze"" data-ordinal=""3""><i>less</i>&nbsp;resonance stabilization</span> for the resulting <span class=""cloze"" data-ordinal=""3"">conjugate base</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>This trend is generally true for most oxyacids (acids with multiple oxygen atoms).</div><div><br></div><img src=""maxresdefault-c7bbf2abb0a81c0368ff320410fe988274651e1c.jpg""></div>"
"<span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>&nbsp;is <span class=""cloze"" data-cloze=""&lt;i&gt;less&lt;&#x2F;i&gt;"" data-ordinal=""1"">[less/more]</span> <u>acidic</u> than <span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>, since having 1 less oxygen results in <span class=""cloze-inactive"" data-ordinal=""3""><i>less</i>&nbsp;resonance stabilization</span> for the resulting <span class=""cloze-inactive"" data-ordinal=""3"">conjugate base</span>."	"<span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>3</sub></b></span>&nbsp;is <span class=""cloze"" data-ordinal=""1""><i>less</i></span> <u>acidic</u> than <span class=""cloze-inactive"" data-ordinal=""2""><b>HBrO<sub>4</sub></b></span>, since having 1 less oxygen results in <span class=""cloze-inactive"" data-ordinal=""3""><i>less</i>&nbsp;resonance stabilization</span> for the resulting <span class=""cloze-inactive"" data-ordinal=""3"">conjugate base</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>This trend is generally true for most oxyacids (acids with multiple oxygen atoms).</div><div><br></div><img src=""maxresdefault-c7bbf2abb0a81c0368ff320410fe988274651e1c.jpg""></div>"
